index,delta_RHR
2024-08-07 00:00:00,5.264851314280996
2024-08-07 01:00:00,5.521101314280976
2024-08-07 02:00:00,6.157928237357915
2024-08-07 04:00:00,6.5992957587254395
2024-08-07 10:00:00,7.0232604051900935
2024-08-07 23:00:00,7.519017980947659
2024-08-08 04:00:00,7.515851314281001
2024-08-08 05:00:00,7.184851314280998
2024-08-08 07:00:00,7.02110131428099
2024-08-09 02:00:00,6.847351314281006
2024-08-09 03:00:00,6.308438270802732
2024-08-09 04:00:00,6.231517980947665
2024-08-09 05:00:00,6.2513513142809884
2024-08-09 06:00:00,6.316214950644628
2024-08-09 17:00:00,6.328779885709558
2024-08-09 18:00:00,6.448779885709563
2024-08-10 03:00:00,6.353601314281001
2024-08-10 05:00:00,6.50943464761432
2024-08-10 06:00:00,6.777351314280999
2024-08-10 07:00:00,6.909851314280978
2024-08-10 14:00:00,7.063184647614328
2024-08-10 16:00:00,7.580476314280979
2024-08-11 04:00:00,8.06016381428099
2024-08-11 05:00:00,8.284851314280992
2024-08-11 09:00:00,8.346413814280986
2024-08-12 06:00:00,8.43901798094766
2024-08-12 07:00:00,8.52235131428099
2024-08-12 08:00:00,8.744624041553728
2024-08-12 12:00:00,8.951101314280997
2024-08-13 00:00:00,9.072351314280986
2024-08-13 02:00:00,9.16568464761432
2024-08-13 05:00:00,9.114351314281002
2024-08-13 06:00:00,9.01848767791737
2024-08-13 07:00:00,8.895851314280996
2024-08-13 08:00:00,8.940684647614312
2024-08-13 18:00:00,9.069851314280989
2024-08-13 22:00:00,9.354017980947667
2024-08-13 23:00:00,9.729538814280993
2024-08-14 01:00:00,9.822976314281
2024-08-14 04:00:00,9.754851314280991
2024-08-14 05:00:00,9.628351314280998
2024-08-14 06:00:00,9.08360131428099
2024-08-14 07:00:00,8.554851314280974
2024-08-14 08:00:00,8.227351314281002
2024-08-14 10:00:00,8.022010405190095
2024-08-14 11:00:00,8.077351314280996
2024-08-14 14:00:00,8.235851314280985
2024-08-14 15:00:00,8.348184647614325
2024-08-14 16:00:00,8.571240203169872
2024-08-15 00:00:00,8.497906869836548
2024-08-15 02:00:00,8.556101314280987
2024-08-15 03:00:00,8.613422742852414
2024-08-15 04:00:00,8.575476314280984
2024-08-15 05:00:00,8.539017980947655
2024-08-15 08:00:00,8.574851314280998
2024-08-15 09:00:00,9.068832795762496
2024-08-15 15:00:00,9.299434647614312
2024-08-15 18:00:00,9.547351314280995
